date,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
2017-09-03 00:00:00,4508.5,4714.76,4467.88,4620.87,232.321642,2017-09-03 07:59:59.999,1070867.1139385,1949,89.91877,414673.53374299
2017-09-03 08:00:00,4610.52,4674.86,4298.33,4384.15,273.485038,2017-09-03 15:59:59.999,1217617.63049665,2512,106.062222,471770.10924833
2017-09-03 16:00:00,4351.02,4583.84,4345.01,4509.08,185.409518,2017-09-03 23:59:59.999,832568.00786666,1561,62.953544,283201.04860562
2017-09-04 00:00:00,4505.0,4527.49,4052.0,4186.96,357.244716,2017-09-04 07:59:59.999,1548560.0222475,2389,127.229116,553001.63247859
2017-09-04 08:00:00,4102.05,4437.68,4014.76,4015.03,740.921265,2017-09-04 15:59:59.999,3140233.29779729,4490,339.005501,1442641.48182591
2017-09-04 16:00:00,4015.03,4300.95,3972.51,4100.11,296.478633,2017-09-04 23:59:59.999,1221154.17004495,2438,112.366234,464719.49861214
2017-09-05 00:00:00,4106.97,4190.4,3603.0,4190.4,500.571716,2017-09-05 07:59:59.999,1987273.22430675,4411,205.827696,820682.18246556
2017-09-05 08:00:00,4190.0,4298.0,4050.0,4151.0,467.190874,2017-09-05 15:59:59.999,1958974.42508953,3581,205.982432,864867.11604643
2017-09-05 16:00:00,4140.0,4484.99,4096.06,4366.47,261.175567,2017-09-05 23:59:59.999,1137205.53735443,2092,121.665937,528748.54110047
2017-09-06 00:00:00,4366.49,4522.81,4335.26,4461.29,353.728511,2017-09-06 07:59:59.999,1570102.96155829,3600,174.938909,778131.4227502
2017-09-06 08:00:00,4476.13,4619.47,4422.28,4619.43,436.891617,2017-09-06 15:59:59.999,1978863.98330437,4313,242.365776,1099116.50740965
2017-09-06 16:00:00,4619.43,4662.87,4610.0,4619.77,16.743598,2017-09-06 23:59:59.999,77379.11058057,43,5.618378,25983.81075555
2017-09-07 00:00:00,4619.77,4661.93,4438.19,4510.25,153.119333,2017-09-07 07:59:59.999,691130.54731766,842,65.802763,297555.51423927
2017-09-07 08:00:00,4475.01,4759.25,4458.0,4755.0,257.719959,2017-09-07 15:59:59.999,1193621.14128118,1558,131.546199,609556.52249011
2017-09-07 16:00:00,4755.0,4788.59,4586.13,4691.61,89.590683,2017-09-07 23:59:59.999,421043.44778431,670,43.334987,204187.20684528
2017-09-08 00:00:00,4691.66,4735.39,4586.13,4619.01,90.730903,2017-09-08 07:59:59.999,419122.16154317,753,35.172101,162543.01680651
2017-09-08 08:00:00,4625.36,4699.77,4028.93,4348.65,528.460766,2017-09-08 15:59:59.999,2278081.88788721,1863,236.730379,1016868.46151317
2017-09-08 16:00:00,4330.68,4396.49,4060.0,4282.8,513.063377,2017-09-08 23:59:59.999,2169323.17696299,2117,194.059639,824865.81109787
2017-09-09 00:00:00,4282.8,4426.62,4150.06,4321.52,323.384458,2017-09-09 07:59:59.999,1379584.21082058,1684,162.935008,696545.7683561
2017-09-09 08:00:00,4336.19,4400.6,4245.94,4276.0,184.49421,2017-09-09 15:59:59.999,795387.24151561,998,79.363255,343175.37076719
2017-09-09 16:00:00,4276.0,4300.0,4159.64,4258.81,150.904284,2017-09-09 23:59:59.999,640412.01335079,1095,45.691542,193905.8686208
2017-09-10 00:00:00,4258.81,4279.7,3801.0,3988.95,306.591804,2017-09-10 07:59:59.999,1241370.13388541,1412,97.551402,395074.47595437
2017-09-10 08:00:00,3988.89,4135.48,3900.05,4094.93,186.19112,2017-09-10 15:59:59.999,754646.35815303,958,122.997359,498556.04740273
2017-09-10 16:00:00,4086.92,4283.0,4072.45,4130.37,167.590351,2017-09-10 23:59:59.999,704355.31615367,1065,71.238126,300253.51314739
2017-09-11 00:00:00,4153.62,4334.43,4098.91,4178.73,425.480345,2017-09-11 07:59:59.999,1799075.21000157,2006,191.643181,811033.98585522
2017-09-11 08:00:00,4186.88,4313.18,4115.39,4251.29,157.662364,2017-09-11 15:59:59.999,665406.10300099,1182,84.938758,358623.1237179
